Provider,Provider Info,Base,Quote,Address,Address Link,Page
"UnknownUnknown AggregatorV3 Feed","Unknown","USYC","USD","0x6178...772822","https://etherscan.io/address/0x617889fED99d725831305d13b86Ecc110D772822",10
"Unknown","Unknown","WETH","OETH","0x9C8a...72f677","https://etherscan.io/address/0x9C8aEA3Caf522878Cdb75c939a52deEaBf72f677",14
"UnknownUnknown AggregatorV3 Feed","Unknown","RZR","USD","0x1A80...52663E","https://etherscan.io/address/0x1A808d3c2ac8bA00D7edA27124Ea3f392B52663E",14
"UnknownUnknown AggregatorV3 Feed","Unknown","TBILL","USD","0x3577...78B840","https://etherscan.io/address/0x3577A7eA55fD30D489640791BA903B6FA278B840",15
"UnknownUnknown AggregatorV3 Feed","Unknown","xUSD","USD","0x1aad...94b707","https://etherscan.io/address/0x1aadDb306c9395C1868444346a28FCFF0094b707",15
"UnknownUnknown AggregatorV3 Feed","Unknown","xBTC","USD","0x3070...76c026","https://etherscan.io/address/0x3070382CD4167537D343ee0eAa44FB54d876c026",16
"UnknownUnknown AggregatorV3 Feed","Unknown","xETH","USD","0xD4A4...2fDF64","https://etherscan.io/address/0xD4A45B9aD480446B313D33240E940310e82fDF64",16
"UnknownUnknown AggregatorV3 Feed","Unknown","mHYPER","USD","0xA798...938427","https://etherscan.io/address/0xA798b4aDcAd1C8D3c02662147AFB5d85Be938427",16
"UnknownUnknown AggregatorV3 Feed","Unknown","mAPOLLO","USD","0x1ff4...b35Fb9","https://etherscan.io/address/0x1ff4967c34CA2C83f6275A5E4De8f4B7a2b35Fb9",16
"UnknownUnknown AggregatorV3 Feed","Unknown","fxSAVE","USD","0x922c...060421","https://etherscan.io/address/0x922c2a43486650cA4D3924d38B9417accA060421",16
"UnknownUnknown AggregatorV3 Feed","Unknown","mFARM","USD","0xaB45...9484e6","https://etherscan.io/address/0xaB45699Abd95f9fB846225bB14F418D0119484e6",17
"UnknownUnknown AggregatorV3 Feed","Unknown","mevBTC","WBTC","0x7cb3...996fAA","https://etherscan.io/address/0x7cb33Db0f992dD388a9A3351004D89F4F5996fAA",17
"UnknownUnknown AggregatorV3 Feed","Unknown","RZR","USD","0x479F...cE354C","https://etherscan.io/address/0x479F903243fBCd02d4b54688c192a0A94EcE354C",17
"UnknownUnknown AggregatorV3 Feed","Unknown","RZR","USD","0x27E1...5Fc62A","https://etherscan.io/address/0x27E148cc07DAa5bD29Ed1c791e93595E125Fc62A",18
"UnknownUnknown AggregatorV3 Feed","Unknown","PT-fxSAVE-30APR2026","USD","0x5Fa1...3e5527","https://etherscan.io/address/0x5Fa1158135C592210D174dd11aB05626B13e5527",18
"LidowstETH/stETH","Lido","wstETH","stETH","0xd1DD...31FFF3","https://etherscan.io/address/0xd1DD0C964B0d137498C630B8b7fEd1F88631FFF3",18
"UnknownUnknown AggregatorV3 Feed","Unknown","EURA","EUR","0x4d0d...8e6D5D","https://etherscan.io/address/0x4d0d1B45834e8185e7ddB4aD8Fc64884fa8e6D5D",18
"UnknownUnknown AggregatorV3 Feed","Unknown","USDM","USD","0x6eeF...f9c781","https://etherscan.io/address/0x6eeFee325a755C1620Fb9871d0c0763c5Bf9c781",24
"UnknownUnknown AggregatorV3 Feed","Unknown","bUSD0","USD","0x1B20...4Acb74","https://etherscan.io/address/0x1B20C61d1b4b50FF836B82A206e43618bf4Acb74",28
"UnknownUnknown AggregatorV3 Feed","Unknown","PT-sBOLD-1765325646","BOLD","0x94a3...8b38f5","https://etherscan.io/address/0x94a31084A0e8dBeD217Ee8763a20Ab03E18b38f5",28