Vendor,Total USD,TVL %,Vault Count,Vault %
"Fixed Rate",463659282.81,59.50%,50,7.37%
"Chainlink",260423572.11,33.42%,70,10.32%
"Other",10980623.11,1.41%,23,3.39%
"Unknown",6912543.20,0.89%,39,5.75%
"Pyth",3195292.92,0.41%,29,4.28%
"Cross",2369808.15,0.30%,10,1.47%
"Rate Provider",943713.75,0.12%,5,0.74%
"RedStone",334777.62,0.04%,12,1.77%
"Midas",244339.49,0.03%,4,0.59%
"Pendle",229286.17,0.03%,5,0.74%
"Chronicle",228063.05,0.03%,2,0.29%
"Resolv",84415.66,0.01%,1,0.15%
"Lido Fundamental",0.03,0.00%,1,0.15%